STATIONS_ID;MESS_DATUM;QN_4;NEBEL;GEWITTER;STURM_6;STURM_8; TAU;GLATTEIS;REIF;GRAUPEL;HAGEL;eor
       1346;19490513;    5;   1;   0;   1;   0;   0;   0;   0;   0;   0;eor
       1346;19490514;    5;   1;   0;   0;   0;   0;   0;   0;   1;   0;eor
       1346;19490515;    5;   1;   0;   1;   0;   0;   0;   0;   0;   0;eor
       1346;19490516;    5;   0;   0;   1;   0;   1;   0;   0;   0;   0;eor
       1346;19490517;    5;   0;   0;   1;   0;   1;   0;   0;   0;   1;eor
       1346;19490518;    5;   1;   0;   0;   0;   0;   0;   0;   0;   0;eor
       1346;19490519;    5;   1;   0;   1;   0;   0;   0;   0;   0;   0;eor
       1346;19490520;    5;   1;   0;   0;   0;   0;   0;   0;   0;   0;eor
       1346;19490521;    5;   1;   0;   0;   0;   0;   0;   0;   0;   0;eor
       1346;19490522;    5;   1;   0;   0;   0;   1;   0;   0;   0;   0;eor
       1346;19490523;    5;   1;   0;   0;   0;   0;   0;   0;   0;   0;eor
       1346;19490524;    5;   1;   0;   1;   0;   0;   0;   0;   0;   0;eor
       1346;19490525;    5;   1;   0;   1;   0;   0;   0;   0;   0;   0;eor
       1346;19490526;    5;   1;   0;   1;   0;   0;   0;   0;   1;   0;eor
       1346;19490527;    5;   0;   0;   1;   0;   0;   0;   0;   0;   0;eor
       1346;19490528;    5;   0;   0;   1;   0;   0;   0;   0;   0;   0;eor
       1346;19490529;    5;   1;   1;   0;   1;   0;   0;   0;   0;   1;eor
       1346;19490530;    5;   1;   0;   1;   0;   0;   0;   0;   0;   0;eor
       1346;19490531;    5;   1;   0;   1;   0;   0;   0;   0;   0;   0;eor
       1346;19490601;    5;   1;   0;   0;   0;   0;   0;   0;   0;   0;eor
       1346;19490602;    5;   1;   0;   0;   0;   0;   0;   0;   0;   0;eor
       1346;19490603;    5;   1;   0;   0;   1;   0;   0;   0;   0;   0;eor
       1346;19490604;    5;   1;   0;   0;   1;   0;   0;   0;   0;   0;eor
       1346;19490605;    5;   1;   0;   0;   1;   0;   0;   0;   0;   0;eor
       1346;19490606;    5;   0;   0;   0;   0;   1;   0;   0;   0;   0;eor
       1346;19490607;    5;   1;   1;   0;   1;   0;   0;   0;   1;   0;eor
       1346;19490608;    5;   1;   1;   0;   1;   0;   0;   0;   0;   0;eor
       1346;19490609;    5;   1;   1;   0;   1;   0;   0;   0;   0;   0;eor
       1346;19490610;    5;   1;   0;   1;   0;   0;   0;   0;   0;   0;eor
       1346;19490611;    5;   1;   0;   1;   0;   1;   0;   0;   0;   0;eor
       1346;19490612;    5;   1;   0;   1;   0;   0;   0;   0;   0;   0;eor
       1346;19490613;    5;   1;   0;   1;   0;   1;   0;   0;   0;   0;eor
       1346;19490614;    5;   0;   0;   0;   0;   1;   0;   0;   0;   0;eor
       1346;19490615;    5;   1;   0;   0;   0;   1;   0;   0;   0;   0;eor
       1346;19490616;    5;   0;   0;   0;   0;   1;   0;   0;   0;   0;eor
       1346;19490617;    5;   0;   0;   0;   0;   1;   0;   0;   0;   0;eor
       1346;19490618;    5;   0;   0;   0;   0;   1;   0;   0;   0;   0;eor
       1346;19490619;    5;   1;   0;   1;   0;   1;   0;   1;   0;   0;eor
       1346;19490620;    5;   1;   0;   1;   0;   1;   0;   0;   0;   0;eor
       1346;19490621;    5;   0;   0;   1;   0;   1;   0;   0;   0;   0;eor
