Stations_id;Beginn;Ende;Anzahl_Jahre;Fehl_Jahre;Fehl_Werte;max(Fehl_Zeitraum)>=25;Stationsname;eor;
2250;01.01.1949;31.07.2006;57.62;;;-;Höllenstein(Kraftwerk);eor;
5282;01.01.1917;30.06.1974;57.53;;;-;WahnsdorfbeiDresden;eor;
2559;01.01.1952;30.06.2009;57.53;;;-;Kempten;eor;
3137;01.01.1951;31.05.2008;57.45;;;-;Mainz-Lerchenberg(ZDF);eor;
991;01.09.1954;31.12.2011;57.37;.96;349;-;Dippoldiswalde-Reinberg;eor;
5344;01.01.1950;31.12.2006;57.04;.25;92;-;Wangerooge;eor;
614;01.01.1951;31.12.2007;57.04;9.17;3348;-;Borgentreich-Bühne;eor;
5582;01.01.1949;31.12.2005;57.04;.08;31;-;Willingen/Upland;eor;
142;01.01.1955;31.12.2011;57.04;;;-;Altomünster-Maisbrunn;eor;
1329;01.01.1947;31.12.2003;57.04;;;-;Eutin;eor;
5361;01.01.1949;31.12.2005;57.04;;;-;Wartenberg-Angersbach;eor;
3056;01.01.1949;31.10.2005;56.87;;;-;Lohr/Main-Steinbach;eor;
4371;01.01.1950;01.10.2006;56.79;;;-;Salzuflen,Bad;eor;
5442;01.04.1949;31.12.2005;56.79;25.89;9450;-;Weißenfels;eor;
3924;01.01.1949;31.08.2005;56.7;.5;184;-;Pforzheim-Eutingen;eor;
717;01.01.1948;30.06.2004;56.53;.17;61;-;Brilon;eor;
1053;01.04.1947;31.07.2003;56.37;4.92;1795;-;Driburg,Bad;eor;
2088;01.01.1949;30.04.2005;56.36;.41;151;-;Heidenheim/Brenz;eor;
1748;01.01.1949;31.03.2005;56.28;;;-;Grebenhain-Herchenhain;eor;
4592;21.10.1955;31.12.2011;56.23;2;731;-;Schwandorf;eor;
1990;01.01.1951;31.12.2006;56.04;.58;212;-;Hamburg-Wandsbek;eor;
4741;01.01.1947;31.12.2002;56.04;;;-;Solingen-Hohenscheid;eor;
1667;01.01.1951;31.12.2006;56.04;;;-;Glückstadt;eor;
3486;01.01.1949;31.12.2004;56.04;;;-;Neudenau;eor;
1979;01.01.1951;31.12.2006;56.04;11.42;4169;-;Hamburg-Kirchwerder;eor;
4419;01.01.1949;31.12.2004;56.04;;;-;Schallstadt-Mengen;eor;
5498;01.01.1949;30.11.2004;55.95;;;-;Wertheim-Eichel;eor;
3366;01.01.1953;31.08.2008;55.7;;;-;Mühldorf;eor;
554;01.01.1947;26.08.2002;55.69;20.75;7573;-;Bocholt-Liedern(Wasserwerk);eor;
3234;01.06.1956;31.12.2011;55.62;6.93;2528;-;GarsebachbeiMeißen;eor;
1689;01.01.1949;30.06.2004;55.53;;;-;Gößweinstein;eor;
2078;01.01.1947;30.06.2002;55.53;;;-;Weddingstedt;eor;
4745;21.07.1947;31.12.2002;55.48;;;-;Soltau;eor;
1891;01.01.1947;31.03.2002;55.28;.17;61;-;Rheda-Wiedenbrück-Lintel;eor;
2794;01.05.1945;30.06.2000;55.2;31.81;11612;-;Kyritz;eor;
2206;01.03.1953;29.02.2008;55.04;;;-;Hildesheim;eor;
1467;01.01.1951;31.12.2005;55.04;30.02;10958;01.01.1960-31.12.1989;Freudenstadt-Kurgarten;eor;
5250;01.01.1949;31.12.2003;55.03;;;-;Vogtsburg-Oberrotweil;eor;
5433;01.01.1957;31.12.2011;55.03;.25;91;-;Weiskirchen/Saar;eor;
5138;01.01.1949;31.12.2003;55.03;.83;304;-;Überlingen/Bodensee;eor;
4300;01.02.1957;31.12.2011;54.95;7.09;2589;-;Rottweil;eor;
1093;01.01.1951;31.10.2005;54.87;;;-;Eberbach;eor;
2095;01.01.1949;31.10.2003;54.87;;;-;Heilbronn;eor;
5426;01.01.1953;31.10.2007;54.87;6.84;2495;-;Weinbiet;eor;
5078;01.01.1947;30.09.2001;54.78;.25;92;-;Travemünde;eor;
5802;01.01.1949;30.09.2003;54.78;;;-;Zwieselberg;eor;
2158;01.01.1951;30.09.2005;54.78;1.33;487;-;Herrenalb,Bad;eor;
1929;01.01.1947;31.07.2001;54.62;.75;273;-;Hahnenklee;eor;
2949;01.08.1947;31.01.2002;54.54;.16;60;-;Lenningen-Schopfloch;eor;
